date,precipitation_sum,rain_sum,temperature_mean,temperature_min,temperature_max,windspeed_10m_max,windspeed,humidity,pressure
2010-01-01,3.9,3.9,23.0,21.1,25.7,18.6,10.4,82,1006.0
2010-01-02,8.6,8.6,23.6,21.0,26.9,15.6,8.4,84,1001.6
2010-01-03,1.1,1.1,19.9,19.5,20.6,18.3,13.0,74,1009.5
2010-01-04,0.6,0.6,20.9,19.2,22.5,16.9,11.1,70,1013.0
2010-01-05,0.0,0.0,22.5,18.6,26.0,17.5,9.7,74,1009.9
2010-01-06,0.0,0.0,22.4,20.5,24.7,18.7,10.5,81,1008.6
2010-01-07,0.0,0.0,21.4,19.6,23.1,14.9,11.5,70,1011.8
2010-01-08,0.5,0.5,22.4,20.8,24.5,14.4,9.4,73,1013.5
2010-01-09,0.0,0.0,25.3,20.1,30.4,13.7,7.9,72,1009.8
2010-01-10,0.0,0.0,24.5,21.3,27.3,18.7,11.9,72,1009.7
2010-01-11,0.0,0.0,22.6,20.8,24.8,21.5,12.0,75,1010.5
2010-01-12,0.3,0.3,25.5,21.2,30.4,18.9,11.6,77,1004.0
2010-01-13,0.9,0.9,23.5,20.3,25.8,25.7,15.6,74,1005.5
2010-01-14,0.0,0.0,21.4,19.9,22.7,19.2,14.6,74,1011.4
2010-01-15,1.7,1.7,22.1,21.1,23.4,14.4,9.3,79,1011.5
2010-01-16,0.0,0.0,22.8,20.5,25.8,14.6,8.5,78,1005.0
2010-01-17,8.8,8.8,22.0,19.1,25.3,18.4,12.0,81,998.0
2010-01-18,0.0,0.0,20.2,16.4,23.7,28.1,14.6,52,998.3
2010-01-19,0.0,0.0,20.2,16.0,24.0,11.0,6.8,48,1002.1
2010-01-20,0.0,0.0,23.0,17.3,27.8,10.5,5.8,52,1002.7
2010-01-21,0.0,0.0,24.1,20.2,28.8,16.5,7.8,76,1004.4
2010-01-22,0.0,0.0,26.9,20.7,32.4,14.2,9.9,65,1004.8
2010-01-23,0.0,0.0,28.2,21.2,37.3,35.6,19.9,47,1003.2
2010-01-24,0.2,0.2,22.1,20.5,24.0,16.7,11.2,68,1008.9
2010-01-25,0.0,0.0,23.2,20.5,25.8,15.8,7.4,76,1006.6
2010-01-26,0.0,0.0,24.6,21.6,29.0,17.0,7.2,83,1003.6
